ABW,Aruba,North America,193,103000
AFG,Afghanistan,Asia,652090,22720000
AGO,Angola,Africa,1246700,12878000
AIA,Anguilla,North America,96,8000
ALB,Albania,Europe,28748,3401200
AND,Andorra,Europe,468,78000
ANT,Netherlands Antilles,North America,800,217000
ARE,United Arab Emirates,Asia,83600,2441000
ARG,Argentina,South America,2780400,37032000
ARM,Armenia,Asia,29800,3520000
ASM,American Samoa,Oceania,199,68000
ATA,Antarctica,Antarctica,13120000,0
ATF,French Southern territories,Antarctica,7780,0
ATG,Antigua and Barbuda,North America,442,68000
AUS,Australia,Oceania,7741220,18886000
AUT,Austria,Europe,83859,8091800
AZE,Azerbaijan,Asia,86600,7734000
BDI,Burundi,Africa,27834,6695000
BEL,Belgium,Europe,30518,10239000
BEN,Benin,Africa,112622,6097000
BFA,Burkina Faso,Africa,274000,11937000
BGD,Bangladesh,Asia,143998,129155000
BGR,Bulgaria,Europe,110994,8190900
BHR,Bahrain,Asia,694,617000
BHS,Bahamas,North America,13878,307000
BIH,Bosnia and Herzegovina,Europe,51197,3972000
BLR,Belarus,Europe,207600,10236000
BLZ,Belize,North America,22696,241000
BMU,Bermuda,North America,53,65000
BOL,Bolivia,South America,1098581,8329000
BRA,Brazil,South America,8547403,170115000
BRB,Barbados,North America,430,270000
BRN,Brunei,Asia,5765,328000
BTN,Bhutan,Asia,47000,2124000
BVT,Bouvet Island,Antarctica,59,0
BWA,Botswana,Africa,581730,1622000
CAF,Central African Republic,Africa,622984,3615000
CAN,Canada,North America,9970610,31147000
CCK,Cocos (Keeling) Islands,Oceania,14,600
CHE,Switzerland,Europe,41284,7160400
CHL,Chile,South America,756626,15211000
CHN,China,Asia,9572900,1277558000
CIV,CÃ´te dÂ’Ivoire,Africa,322463,14786000
CMR,Cameroon,Africa,475442,15085000
COD,"Congo, The Democratic Republic of the",Africa,2344858,51654000
COG,Congo,Africa,342000,2943000
COK,Cook Islands,Oceania,236,20000
COL,Colombia,South America,1138914,42321000
COM,Comoros,Africa,1862,578000
CPV,Cape Verde,Africa,4033,428000
CRI,Costa Rica,North America,51100,4023000
CUB,Cuba,North America,110861,11201000
CXR,Christmas Island,Oceania,135,2500
CYM,Cayman Islands,North America,264,38000
CYP,Cyprus,Asia,9251,754700
CZE,Czech Republic,Europe,78866,10278100
DEU,Germany,Europe,357022,82164700
DJI,Djibouti,Africa,23200,638000
DMA,Dominica,North America,751,71000
DNK,Denmark,Europe,43094,5330000
DOM,Dominican Republic,North America,48511,8495000
DZA,Algeria,Africa,2381741,31471000
ECU,Ecuador,South America,283561,12646000
EGY,Egypt,Africa,1001449,68470000
ERI,Eritrea,Africa,117600,3850000
ESH,Western Sahara,Africa,266000,293000
ESP,Spain,Europe,505992,39441700
EST,Estonia,Europe,45227,1439200
ETH,Ethiopia,Africa,1104300,62565000
FIN,Finland,Europe,338145,5171300
FJI,Fiji Islands,Oceania,18274,817000
FLK,Falkland Islands,South America,12173,2000
FRA,France,Europe,551500,59225700
FRO,Faroe Islands,Europe,1399,43000
FSM,"Micronesia, Federated States of",Oceania,702,119000
GAB,Gabon,Africa,267668,1226000
GBR,United Kingdom,Europe,242900,59623400
GEO,Georgia,Asia,69700,4968000
GHA,Ghana,Africa,238533,20212000
GIB,Gibraltar,Europe,6,25000
GIN,Guinea,Africa,245857,7430000
GLP,Guadeloupe,North America,1705,456000
GMB,Gambia,Africa,11295,1305000
GNB,Guinea-Bissau,Africa,36125,1213000
GNQ,Equatorial Guinea,Africa,28051,453000
GRC,Greece,Europe,131626,10545700
GRD,Grenada,North America,344,94000
GRL,Greenland,North America,2166090,56000
GTM,Guatemala,North America,108889,11385000
GUF,French Guiana,South America,90000,181000
GUM,Guam,Oceania,549,168000
GUY,Guyana,South America,214969,861000
HKG,Hong Kong,Asia,1075,6782000
HMD,Heard Island and McDonald Islands,Antarctica,359,0
HND,Honduras,North America,112088,6485000
HRV,Croatia,Europe,56538,4473000
HTI,Haiti,North America,27750,8222000
HUN,Hungary,Europe,93030,10043200
IDN,Indonesia,Asia,1904569,212107000
IND,India,Asia,3287263,1013662000
IOT,British Indian Ocean Territory,Africa,78,0
IRL,Ireland,Europe,70273,3775100
IRN,Iran,Asia,1648195,67702000
IRQ,Iraq,Asia,438317,23115000
ISL,Iceland,Europe,103000,279000
ISR,Israel,Asia,21056,6217000
ITA,Italy,Europe,301316,57680000
JAM,Jamaica,North America,10990,2583000
JOR,Jordan,Asia,88946,5083000
JPN,Japan,Asia,377829,126714000
KAZ,Kazakstan,Asia,2724900,16223000
KEN,Kenya,Africa,580367,30080000
KGZ,Kyrgyzstan,Asia,199900,4699000
KHM,Cambodia,Asia,181035,11168000
KIR,Kiribati,Oceania,726,83000
KNA,Saint Kitts and Nevis,North America,261,38000
KOR,South Korea,Asia,99434,46844000
KWT,Kuwait,Asia,17818,1972000
LAO,Laos,Asia,236800,5433000
LBN,Lebanon,Asia,10400,3282000
LBR,Liberia,Africa,111369,3154000
LBY,Libyan Arab Jamahiriya,Africa,1759540,5605000
LCA,Saint Lucia,North America,622,154000
LIE,Liechtenstein,Europe,160,32300
LKA,Sri Lanka,Asia,65610,18827000
LSO,Lesotho,Africa,30355,2153000
LTU,Lithuania,Europe,65301,3698500
